LSID,Species Name,Taxon Concept,Taxon Rank,Kingdom,Phylum,Class,Order,Family,Genus,Vernacular Name,Number of records,Invasive
"Salmo salar|NBNSYS0000188606|Atlantic Salmon|Animalia|Salmonidae","Salmo salar","Linnaeus, 1758",,"SPECIES","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Salmo","Salmo salar",,"9",""
"Sargassum muticum|NHMSYS0021058667|Wireweed|Chromista|Sargassaceae","Sargassum muticum","(Yendo) Fensholt, 1955",,"SPECIES","Chromista","Ochrophyta","Phaeophyceae","Fucales","Sargassaceae","Sargassum","Sargassum muticum",,"1","The Wildlife (Northern Ireland) Order 1985 – Schedule 9|Isle of Man Wildlife Act Schedule 8|Isle of Man marine biosecurity plan (2018)|UK Biodiversity Indicators 2023. Indicator B6: Pressure from invasive species|Non-native species of interest to Northern Ireland|INNS of Interest to Wales June 2022"
"Senecio viscosus|NBNSYS0000004370|Sticky Groundsel|Plantae|Asteraceae","Senecio viscosus","L.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Senecio","Senecio viscosus",,"23",""
"Sinapis arvensis|NBNSYS0000002808|Charlock|Plantae|Brassicaceae","Sinapis arvensis","L.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Sinapis","Sinapis arvensis",,"1",""
"Sisymbrium officinale|NBNSYS0000002906|Hedge Mustard|Plantae|Brassicaceae","Sisymbrium officinale","(L.) Scop.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Sisymbrium","Sisymbrium officinale",,"3",""
"Sisyrinchium californicum|NHMSYS0000463635|Yellow-eyed-grass|Plantae|Iridaceae","Sisyrinchium californicum","(Ker Gawl.) W.T. Aiton",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asparagales","Iridaceae","Sisyrinchium","Sisyrinchium californicum",,"3",""
"Spiraea salicifolia|NBNSYS0000003313|Bridewort|Plantae|Rosaceae","Spiraea salicifolia","L.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Spiraea","Spiraea salicifolia",,"1","UK Biodiversity Indicators 2023. Indicator B6: Pressure from invasive species"
"Symphoricarpos albus|NHMSYS0000464104|Snowberry|Plantae|Caprifoliaceae","Symphoricarpos albus","(L.) S.F. Blake",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Symphoricarpos","Symphoricarpos albus",,"1","UK Biodiversity Indicators 2023. Indicator B6: Pressure from invasive species"
"Tanacetum parthenium|NHMSYS0000464153|Feverfew|Plantae|Asteraceae","Tanacetum parthenium","(L.) Sch. Bip.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Tanacetum","Tanacetum parthenium",,"9",""
"Tandonia sowerbyi|NHMSYS0020528291|Sowerby's Keeled Slug|Animalia|Milacidae","Tandonia sowerbyi","(A. Férussac, 1823)",,"SPECIES","Animalia","Mollusca","Gastropoda","Pulmonata","Milacidae","Tandonia","Tandonia sowerbyi",,"1",""
"Thera britannica|NHMSYS0000504489|Spruce Carpet|Animalia|Geometridae","Thera britannica","(Turner, 1925)",,"SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Thera","Thera britannica",,"1",""
"Tripleurospermum inodorum|NHMSYS0000464606|Scentless Mayweed|Plantae|Asteraceae","Tripleurospermum inodorum","(L.) Sch. Bip.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Tripleurospermum","Tripleurospermum inodorum",,"2",""
"Triticum aestivum|NBNSYS0000002689|Bread Wheat|Plantae|Poaceae","Triticum aestivum","L.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Poales","Poaceae","Triticum","Triticum aestivum",,"1",""
"Tropaeolum majus|NBNSYS0000034299|Nasturtium|Plantae|Tropaeolaceae","Tropaeolum majus","L.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Tropaeolaceae","Tropaeolum","Tropaeolum majus",,"1",""
"Tsuga heterophylla|NBNSYS0000004672|Western Hemlock-spruce|Plantae|Pinaceae","Tsuga heterophylla","(Raf.) Sarg.",,"SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Tsuga","Tsuga heterophylla",,"5","INNS of Interest to Wales June 2022"
"Veronica filiformis|NHMSYS0000464816|Slender Speedwell|Plantae|Plantaginaceae","Veronica filiformis","Sm.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","Veronica","Veronica filiformis",,"9",""
"Veronica persica|NHMSYS0000464828|Common Field-speedwell|Plantae|Plantaginaceae","Veronica persica","Poir.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","Veronica","Veronica persica",,"3",""
"Veronica polita|NHMSYS0000464829|Grey Field-speedwell|Plantae|Plantaginaceae","Veronica polita","Fr.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","Veronica","Veronica polita",,"1",""
"Viola arvensis|NBNSYS0000002947|Field Pansy|Plantae|Violaceae","Viola arvensis","Murray",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Violaceae","Viola","Viola arvensis",,"3",""
"Vulpes vulpes|NHMSYS0000080188|Red Fox|Animalia|Canidae","Vulpes vulpes","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Mammalia","Carnivora","Canidae","Vulpes","Vulpes vulpes",,"1","The Wildlife (Northern Ireland) Order 1985 – Schedule 9"
