Slope,Altitude,eventID,occurrenceID,basisOfRecord,Kingdom,Class,Order,scientificName,Commonname,taxonRank,individualCount,organismQuantity,BMWP
South,Low,S3TIP_I,S3TIP_I1,Humanobservation,Animalia,Insecta,Coleoptera,Pterostichus niger,Woodland_ground_beetle,Order,1,1,
North,Low,N3TIT_A,N3TIT_A6,Humanobservation,Animalia,Insecta,Hemiptera,Rhopalidae sp,Scentless_plant_bugs,Family,1,1,
South,Low,S3TIT_A,S3TIT_A9,Humanobservation,Animalia,Insecta,Diptera,Sciaridae sp,Dark_winged_fungus_gnats ,Family,1,1,
North,Low,N3TIT_A,N3TIT_A1,Humanobservation,Animalia,Insecta,Lepidoptera,Standfussiana lucernea,Northern_rustic ,Species ,1,1,
North,Low,N3TIT_E,N3TIT_E9,Humanobservation,Animalia,Insecta,Lepidoptera,Stilbia anomala,The_anomalous,Species ,1,1,
South,Low,S3TIT_E,S3TIT_E7,Humanobservation,Animalia,Insecta,Julida,Tachypodoiulus niger,White_legged_snake_millipede,Species ,1,1,
South,High,S1TIN_F,S1TIN_F4,Humanobservation,Animalia,Insecta,Thysanoptera,Thysanoptera sp,Thrip,Order,1,1,
North,Low,N3TIT_E,N3TIT_E4,Humanobservation,Animalia,Insecta,Diptera,Tipula oleracea,Marsh_crane_fly ,Species ,2,2,
South,Low,S3TIT_A,S3TIT_A14,Humanobservation,Animalia,Insecta,Diptera,Tipula oleracea,Marsh_crane_fly ,Species ,1,1,
South,Low,S3TIT_E,S3TIT_E2,Humanobservation,Animalia,Insecta,Diptera,Tipula oleracea,Marsh_crane_fly ,Species ,2,2,
South,Low,S3TIT_A,S3TIT_A13,Humanobservation,Animalia,Insecta,Diptera,Tipula oleracea,Marsh_crane_fly ,Species ,1,1,
South,Low,S3TIT_A,S3TIT_A12,Humanobservation,Animalia,Insecta,Diptera,Tipula oleracea,Marsh_crane_fly ,Order,10,10,
South,Low,S3TIT_A,S3TIT_A11,Humanobservation,Animalia,Insecta,Diptera,Tipula rufina,Crane_fly ,Species ,2,2,
North,Low,N3TIT_A,N3TIT_A8,Humanobservation,Animalia,Insecta,Diptera,Tipulidae sp,Crane_fly ,Family,1,1,
South,Low,S3TIT_J,S3TIT_J4,Humanobservation,Animalia,Insecta,Diptera,Tipulidae sp,Crane_fly ,Super_family,1,1,
North,Low,N3TIT_J,N3TIT_J5,Humanobservation,Animalia,Insecta,Diptera,Tipulidae sp,Crane_fly ,Super_family,4,4,
South,High,S1TIN_F,S1TIN_F5,Humanobservation,Animalia,Insecta,Diptera,Tipulidae sp,Crane_fly,Family,1,1,
South,Low,S3TIT_J,S3TIT_J1,Humanobservation,Animalia,Insecta,Trichoptera,Trichoptera sp,Caddis_fly,Order,1,1,
North,Low,N3TIT_J,N3TIT_J3,Humanobservation,Animalia,Insecta,Trichoptera,Trichoptera sp,Caddis_fly,Order,1,1,
South,Low,S3TIT_A,S3TIT_A5,Humanobservation,Animalia,Insecta,Lepidoptera,Xanthia togata,Pink_barred_sallow_moth,Species ,1,1,
North,Low,N3TIT_E,N3TIT_E7,Humanobservation,Animalia,Insecta,Lepidoptera,Xestia agathina,Heath_rustic ,Species ,1,1,
South,Low,S3TIT_A,S3TIT_A3,Humanobservation,Animalia,Insecta,Lepidoptera,Xestia agathina,Heath_rustic ,Species ,1,1,
South,Low,S3TIT_E,S3TIT_E3,Humanobservation,Animalia,Insecta,Lepidoptera,Xestia castanea,Neglected_rustic,Species ,1,1,
North,Low,N3TIT_E,N3TIT_E2,Humanobservation,Animalia,Insecta,Lepidoptera,Xestia xanthographa,Square_spot_rustic ,Species ,3,3,
South,Low,S3TIT_A,S3TIT_A1,Humanobservation,Animalia,Insecta,Lepidoptera,Xestia xanthographa,Square_spot_rustic ,Species ,12,12,
North,Low,N3TIT_A,N3TIT_A3,Humanobservation,Animalia,Insecta,Lepidoptera,Xestia xanthographa,Square_spot_rustic ,Species ,2,2,
North,Low,N3TIT_J,N3TIT_J2,Humanobservation,Animalia,Insecta,Lepidoptera,Xestia xanthographa,Square_spot_rustic ,Species,5,5,
North,High,N1MR,N1MR_1,Humanobservation,Animalia,Mammalia,Artiodactyla,Cervus elaphus,Red_dear,Species,1,1,
North,Medium,N2MR,N2MR_2,Humanobservation,Animalia,Mammalia,Artiodactyla,Cervus elaphus,Red_dear,Species,1,1,
North,Low,N3MR,N3MR_3,Humanobservation,Animalia,Mammalia,Artiodactyla,Cervus elaphus,Red_dear,Species,1,1,
South,High,S1MR,S1MR_1,Humanobservation,Animalia,Mammalia,Artiodactyla,Cervus elaphus,Red_dear,Species,1,1,
South,Medium,S2MR,S2MR_1,Humanobservation,Animalia,Mammalia,Artiodactyla,Cervus elaphus,Red_dear,Species,1,1,
South,Low,S3MR,S3MR_3,Humanobservation,Animalia,Mammalia,Artiodactyla,Cervus elaphus,Red_dear,Species,1,1,
North,Low,N2MR,N2MR_4,Humanobservation,Animalia,Mammalia,Carnivora,Meles meles,Badger,Species,1,1,
South,Medium,S2CR_C,S2CR_C1,Audiomoth,Animalia,Mammalia,Chiroptera,Nyctalus leisleri,Lesser_noctule,Species,1,0,
South,Medium,S2CR_B,S2CR_B1,Audiomoth,Animalia,Mammalia,Chiroptera,Nyctalus leisleri,Lesser_noctule,Species,1,0,
North,High,N1MR,N1MR_2,Humanobservation,Animalia,Mammalia,Artiodactyla,Ovis sp,Domestic_sheep,Genus,1,1,
North,Medium,N2MR,N2MR_3,Humanobservation,Animalia,Mammalia,Artiodactyla,Ovis sp,Domestic_sheep,Genus,1,1,
South,Low,S3MR,S3MR_3,Humanobservation,Animalia,Mammalia,Artiodactyla,Ovis sp,Domestic_sheep,Genus,1,1,
South,Low,S3CR_A,S3CR_A1,Audiomoth,Animalia,Mammalia,Chiroptera,Pipistrellus nathusii,Nathusius'_pipistrelle,Species,1,0,
South,Medium,S2CR_C,S2CR_C2,Audiomoth,Animalia,Mammalia,Chiroptera,Pipistrellus nathusii,Nathusius'_pipistrelle,Species,1,0,
South,Medium,S2CR_D,S2CR_D1,Audiomoth,Animalia,Mammalia,Chiroptera,Pipistrellus nathusii,Nathusius'_pipistrelle,Species,1,0,
South,Low,S3CR_A,S3CR_A2,Audiomoth,Animalia,Mammalia,Chiroptera,Pipistrellus pipistrellus,Common_pipistrelle,Species,1,0,
North,Low,N3CR_A,N3CR_A1,Audiomoth,Animalia,Mammalia,Chiroptera,Pipistrellus pipistrellus,Common_pipistrelle,Species,1,0,
South,Medium,S2CR_B,S2CR_B2,Audiomoth,Animalia,Mammalia,Chiroptera,Pipistrellus pipistrellus,Common_pipistrelle,Species,1,0,
South,Medium,S2CR_C,S2CR_C3,Audiomoth,Animalia,Mammalia,Chiroptera,Pipistrellus pipistrellus,Common_pipistrelle,Species,1,0,
South,Medium,S2CR_D,S2CR_D2,Audiomoth,Animalia,Mammalia,Chiroptera,Pipistrellus pipistrellus,Common_pipistrelle,Species,1,0,
North,Medium,N2CR_A,N2CR_A2,Audiomoth,Animalia,Mammalia,Chiroptera,Pipistrellus pipistrellus,Common_pipistrelle,Species,1,0,
South,Low,S3CR_A,S3CR_A3,Audiomoth,Animalia,Mammalia,Chiroptera,Pipistrellus pygmaeus,Soprano_pipistrelle,Species,1,0,
South,Medium,S2CR_B,S2CR_B3,Audiomoth,Animalia,Mammalia,Chiroptera,Pipistrellus pygmaeus,Soprano_pipistrelle,Species,1,0,
South,Medium,S2CR_D,S2CR_D3,Audiomoth,Animalia,Mammalia,Chiroptera,Pipistrellus pygmaeus,Soprano_pipistrelle,Species,1,0,
North,Medium,N2CR_A,N2CR_A1,Audiomoth,Animalia,Mammalia,Chiroptera,Pipistrellus pygmaeus,Soprano_pipistrelle,Species,1,0,
North,High,N1CR_C,N1CR_C1,Audiomoth,Animalia,Mammalia,Chiroptera,Pipistrellus pygmaeus,Soprano_pipistrelle,Species,1,0,
South,Medium,S2CR_D,S2CR_D4,Audiomoth,Animalia,Mammalia,Chiroptera,Plecotus auritus ,Brown_long-eared_bat,Species,1,0,
South,Low,S3MR,S3MR_1,CameraTrap,Animalia,Mammalia,Rodentia,Sciurus vulgaris,Red_Squirrel,Species,1,1,
North,Low,N3MR,N3MR_2,Humanobservation,Animalia,Mammalia,Rodentia,Sciurus vulgaris,Red_Squirrel,Species,2,2,
North,Low,N3P_B,N3P_B2,Humanobservation,Plantae,Plantae,Poales,Agrostis capillaris,Common_bent,Species,1,50,
North,Low,N3P_J,N3P_J5,Humanobservation,Plantae,Plantae,Poales,Agrostis capillaris,Common_bent,Species,1,10,
South,Low,S3P_B,S3P_B2,Humanobservation,Plantae,Plantae,Poales,Agrostis capillaris,Common_bent,Species,1,3,
South,Low,S3P_C,S3P_C1,Humanobservation,Plantae,Plantae,Poales,Agrostis capillaris,Common_bent,Species,1,8,
South,Medium,S2P_B,S2P_B1,Humanobservation,Plantae,Plantae,Poales,Agrostis capillaris,Common_bent,Species,1,5,
South,Medium,S2P_E,S2P_E3,Humanobservation,Plantae,Plantae,Poales,Agrostis capillaris,Common_bent,Species,1,5,
South,Medium,S2P_G,S2P_G1,Humanobservation,Plantae,Plantae,Poales,Agrostis capillaris,Common_bent,Species,1,2,
South,Medium,S2P_H,S2P_H1,Humanobservation,Plantae,Plantae,Poales,Agrostis capillaris,Common_bent,Species,1,1,
South,Medium,S2P_J,S2P_J3,Humanobservation,Plantae,Plantae,Poales,Agrostis capillaris,Common_bent,Species,1,2,
North,Medium,N2P_J,N2P_J5,Humanobservation,Plantae,Plantae,Poales,Anthoxanthum odoratum,Sweet_vernal_grass,Species,1,20,
North,Medium,N2P_I,N2P_I2,Humanobservation,Plantae,Plantae,Poales,Anthoxanthum odoratum,Sweet_vernal_grass,Species,1,40,
North,Medium,N2P_G,N2P_G4,Humanobservation,Plantae,Plantae,Poales,Anthoxanthum odoratum,Sweet_vernal_grass,Species,1,10,
North,Medium,N2P_A,N20_A1,Humanobservation,Plantae,Plantae,Poales,Anthoxanthum odoratum,Sweet_vernal_grass,Species,1,30,
North,High,N1P_E,N1P_E3,Humanobservation,Plantae,Plantae,Poales,Avenella flexuosa,Wavy_hair-grass,Species,1,80,
North,High,N1P_F,N1P_F9,Humanobservation,Plantae,Plantae,Poales,Avenella flexuosa,Wavy_hair-grass,Species,1,5,
North,High,N1P_H,N1P_H2,Humanobservation,Plantae,Plantae,Poales,Avenella flexuosa,Wavy_hair-grass,Species,1,20,
North,Medium,N2P_J,N2P_J1,Humanobservation,Plantae,Plantae,Poales,Avenella flexuosa,Wavy_hair-grass,Species,1,33,
North,Medium,N2P_I,N2P_I1,Humanobservation,Plantae,Plantae,Poales,Avenella flexuosa,Wavy_hair-grass,Species,1,60,
North,Medium,N2P_H,N2P_H2,Humanobservation,Plantae,Plantae,Poales,Avenella flexuosa,Wavy_hair-grass,Species,1,70,
North,Medium,N2P_G,N2P_G2,Humanobservation,Plantae,Plantae,Poales,Avenella flexuosa,Wavy_hair-grass,Species,1,70,
North,Medium,N2P_E,N2P_E3,Humanobservation,Plantae,Plantae,Poales,Avenella flexuosa,Wavy_hair-grass,Species,1,90,
North,Medium,N2P_C,N2P_C2,Humanobservation,Plantae,Plantae,Poales,Avenella flexuosa,Wavy_hair-grass,Species,1,80,
North,Medium,N2P_A,N20_A3,Humanobservation,Plantae,Plantae,Poales,Avenella flexuosa,Wavy_hair-grass,Species,1,40,
North,High,N1P_A,N1P_A1,Humanobservation,Plantae,Plantae,Ericales,Calluna vulgaris,Common_heather,Species,1,90,
North,High,N1P_B,N1P_B1,Humanobservation,Plantae,Plantae,Ericales,Calluna vulgaris,Common_heather,Species,1,90,
North,High,N1P_C,N1P_C1,Humanobservation,Plantae,Plantae,Ericales,Calluna vulgaris,Common_heather,Species,1,55,
North,High,N1P_D,N1P_D1,Humanobservation,Plantae,Plantae,Ericales,Calluna vulgaris,Common_heather,Species,1,80,
North,High,N1P_F,N1P_F2,Humanobservation,Plantae,Plantae,Ericales,Calluna vulgaris,Common_heather,Species,1,60,
North,High,N1P_G,N1P_G1,Humanobservation,Plantae,Plantae,Ericales,Calluna vulgaris,Common_heather,Species,1,40,
North,High,N1P_I,N1P_I1,Humanobservation,Plantae,Plantae,Ericales,Calluna vulgaris,Common_heather,Species,1,95,
North,High,N1P_J,N1P_J1,Humanobservation,Plantae,Plantae,Ericales,Calluna vulgaris,Common_heather,Species,1,95,
South,Low,S3P_J,S3P_J3,Humanobservation,Plantae,Plantae,Poales,Carex sp,Sedge,Genus,1,60,
South,Medium,S2P_H,S2P_H6,Humanobservation,Plantae,Plantae,Poales,Carex sp,Sedge,Genus,1,15,
South,Medium,S2P_I,S2P_I3,Humanobservation,Plantae,Plantae,Poales,Carex sp,Sedge,Genus,1,2,
South,Medium,S2P_J,S2P_J5,Quadrats,Plantae,Plantae,Poales,Carex sp,Sedge,Genus,1,5,
South,Low,S3P_G,S3P_G1,Humanobservation,Plantae,Plantae,Poales,Carex sp,Sedge,Genus,1,20,
South,Low,S3P_H,S3P_H3,Humanobservation,Plantae,Plantae,Poales,Carex sp,Sedge,Genus,1,5,
North,Medium,N2P_J,N2P_J3,Humanobservation,Plantae,Plantae,Caryophyllales,Cerastium fontanum,Little_mouse-ear_chickweed,Species,1,5,
North,Medium,N2P_F,N2P_F3,Humanobservation,Plantae,Plantae,Poales,Deschampsia cespitosa,Tufted_hair_grass,Species,1,80,
North,Medium,N2P_B,N2P_B2,Humanobservation,Plantae,Plantae,Poales,Deschampsia cespitosa,Tufted_hair_grass,Species,1,90,
South,Low,S3P_A,S3P_A3,Humanobservation,Plantae,Plantae,Poales,Deschampsia cespitosa,Tufted_hairgrass,Species,1,15,
South,Low,S3P_F,S3P_F3,Humanobservation,Plantae,Plantae,Poales,Deschampsia cespitosa,Tufted_hairgrass,Species,1,20,
South,Low,S3P_G,S3P_G3,Humanobservation,Plantae,Plantae,Poales,Deschampsia cespitosa,Tufted_hairgrass,Species,1,20,
South,Medium,S2P_D,S2P_D4,Humanobservation,Plantae,Plantae,Poales,Deschampsia cespitosa,Tufted_hairgrass,Species,1,5,
South,Medium,S2P_J,S2P_J2,Humanobservation,Plantae,Plantae,Poales,Deschampsia cespitosa,Tufted_hairgrass,Species,1,2,
North,High,N1P_F,N1P_F6,Humanobservation,Plantae,Plantae,Dicranales,Dicranum scoparium,Broom_fork-moss,Species,1,5,
North,High,N1P_B,N1P_B6,Humanobservation,Plantae,Plantae,Dicranales,Dicranum scoparium,Broom_fork-moss,Species,1,15,
North,High,N1P_F,N1P_F1,Humanobservation,Plantae,Plantae,Digitalis,Digitalis purpurea,Common_foxglove,Species,1,5,
North,High,N1P_A,N1P_A2,Humanobservation,Plantae,Plantae,Ericales,Erica cinerea,Bell_heather,Species,1,10,
North,High,N1P_B,N1P_B2,Humanobservation,Plantae,Plantae,Ericales,Erica cinerea,Bell_heather,Species,1,5,
North,High,N1P_C,N1P_C2,Humanobservation,Plantae,Plantae,Ericales,Erica cinerea,Bell_heather,Species,1,35,
North,High,N1P_D,N1P_D2,Humanobservation,Plantae,Plantae,Ericales,Erica cinerea,Bell_heather,Species,1,15,
North,High,N1P_F,N1P_F3,Humanobservation,Plantae,Plantae,Ericales,Erica cinerea,Bell_heather,Species,1,20,
North,High,N1P_G,N1P_G2,Humanobservation,Plantae,Plantae,Ericales,Erica cinerea,Bell_heather,Species,1,30,
North,High,N1P_H,N1P_H1,Humanobservation,Plantae,Plantae,Ericales,Erica cinerea,Bell_heather,Species,1,70,
North,High,N1P_I,N1P_I2,Humanobservation,Plantae,Plantae,Ericales,Erica cinerea,Bell_heather,Species,1,5,
North,High,N1P_J,N1P_J2,Humanobservation,Plantae,Plantae,Ericales,Erica cinerea,Bell_heather,Species,1,5,
North,Low,N3P_B,N3P_B4,Humanobservation,Plantae,Plantae,Gentianales,Galium mollugo,Hedge_bedstraw,Species,1,50,
North,Low,N3P_C,N3P_C2,Humanobservation,Plantae,Plantae,Gentianales,Galium mollugo,Hedge_bedstraw,Species,1,60,
North,Low,N3P_J,N3P_J3,Humanobservation,Plantae,Plantae,Gentianales,Galium mollugo,Hedge_bedstraw,Species,1,40,
North,High,N1P_E,N1P_E6,Humanobservation,Plantae,Plantae,Gentianales,Galium mollugo,Hedge_bedstraw,Species,1,80,
North,High,N1P_F,N1P_F8,Humanobservation,Plantae,Plantae,Gentianales,Galium mollugo,Hedge_bedstraw,Species,1,80,
North,High,N1P_G,N1P_G5,Humanobservation,Plantae,Plantae,Gentianales,Galium mollugo,Hedge_bedstraw,Species,1,20,
North,High,N1P_H,N1P_H4,Humanobservation,Plantae,Plantae,Gentianales,Galium mollugo,Hedge_bedstraw,Species,1,70,
North,Medium,N2P_J,N2P_J2,Humanobservation,Plantae,Plantae,Gentianales,Galium mollugo,Hedge_bedstraw,Species,1,60,
North,Medium,N2P_I,N2P_I3,Humanobservation,Plantae,Plantae,Gentianales,Galium mollugo,Hedge_bedstraw,Species,1,80,
North,Medium,N2P_H,N2P_H4,Humanobservation,Plantae,Plantae,Gentianales,Galium mollugo,Hedge_bedstraw,Species,1,70,
North,Medium,N2P_G,N2P_G3,Humanobservation,Plantae,Plantae,Gentianales,Galium mollugo,Hedge_bedstraw,Species,1,80,
North,Medium,N2P_F,N2P_F2,Humanobservation,Plantae,Plantae,Gentianales,Galium mollugo,Hedge_bedstraw,Species,1,80,
North,Medium,N2P_E,N2P_E5,Humanobservation,Plantae,Plantae,Gentianales,Galium mollugo,Hedge_bedstraw,Species,1,60,
North,Medium,N2P_D,N2P_D3,Humanobservation,Plantae,Plantae,Gentianales,Galium mollugo,Hedge_bedstraw,Species,1,70,
North,Medium,N2P_C,N2P_C4,Humanobservation,Plantae,Plantae,Gentianales,Galium mollugo,Hedge_bedstraw,Species,1,65,
North,Medium,N2P_B,N2P_B4,Humanobservation,Plantae,Plantae,Gentianales,Galium mollugo,Hedge_bedstraw,Species,1,20,
North,Medium,N2P_A,N20_A4,Humanobservation,Plantae,Plantae,Gentianales,Galium mollugo,Hedge_bedstraw,Species,1,60,
South,High,S1P_A,S1P_A3,Humanobservation,Plantae,Plantae,Gentianales,Galium saxatile,Heath_bedstraw,Species,1,40,
South,High,S1P_H,S1P_H5,Humanobservation,Plantae,Plantae,Gentianales,Galium saxatile,Heath_bedstraw,Species,1,40,
South,Medium,S2P_C,S2P_C4,Humanobservation,Plantae,Plantae,Gentianales,Galium saxatile,Heath_bedstraw,Species,1,35,
South,Medium,S2P_D,S2P_D5,Humanobservation,Plantae,Plantae,Gentianales,Galium saxatile,Heath_bedstraw,Species,1,10,
South,Medium,S2P_E,S2P_E5,Humanobservation,Plantae,Plantae,Gentianales,Galium saxatile,Heath_bedstraw,Species,1,25,
South,Medium,S2P_F,S2P_F5,Humanobservation,Plantae,Plantae,Gentianales,Galium saxatile,Heath_bedstraw,Species,1,10,
North,High,N1P_E,N1P_E5,Humanobservation,Plantae,Plantae,Poales,Holcus lanatus,Yorshire_fog,Species,1,20,
North,High,N1P_F,N1P_F5,Humanobservation,Plantae,Plantae,Poales,Holcus lanatus,Yorshire_fog,Species,1,10,
North,High,N1P_G,N1P_G4,Humanobservation,Plantae,Plantae,Poales,Holcus lanatus,Yorshire_fog,Species,1,10,
North,Medium,N2P_J,N2P_J4,Humanobservation,Plantae,Plantae,Poales,Holcus lanatus,Yorshire_fog,Species,1,33,
North,Medium,N2P_H,N2P_H3,Humanobservation,Plantae,Plantae,Poales,Holcus lanatus,Yorshire_fog,Species,1,30,
North,Medium,N2P_F,N2P_F1,Humanobservation,Plantae,Plantae,Poales,Holcus lanatus,Yorshire_fog,Species,1,20,
North,Medium,N2P_E,N2P_E2,Humanobservation,Plantae,Plantae,Poales,Holcus lanatus,Yorshire_fog,Species,1,10,
North,Medium,N2P_D,N2P_D5,Humanobservation,Plantae,Plantae,Poales,Holcus lanatus,Yorshire_fog,Species,1,80,
North,Medium,N2P_C,N2P_C1,Humanobservation,Plantae,Plantae,Poales,Holcus lanatus,Yorshire_fog,Species,1,20,
North,Medium,N2P_B,N2P_B3,Humanobservation,Plantae,Plantae,Poales,Holcus lanatus,Yorshire_fog,Species,1,10,
North,Medium,N2P_A,N20_A7,Humanobservation,Plantae,Plantae,Poales,Holcus lanatus,Yorshire_fog,Species,1,30,
South,Low,S3P_F,S3P_F4,Humanobservation,Plantae,Plantae,Poales,Holcus lanatus,Yorkshire_fog,Species,1,15,
South,Low,S3P_J,S3P_J4,Humanobservation,Plantae,Plantae,Poales,Holcus lanatus,Yorkshire_fog,Species,1,3,
South,High,S1P_A,S1P_A4,Humanobservation,Plantae,Plantae,Poales,Holcus lanatus,Yorkshire_fog,Species,1,5,
South,Medium,S2P_B,S2P_B3,Humanobservation,Plantae,Plantae,Poales,Holcus lanatus,Yorkshire_fog,Species,1,2,
South,Medium,S2P_D,S2P_D6,Humanobservation,Plantae,Plantae,Poales,Holcus lanatus,Yorkshire_fog,Species,1,5,
South,Medium,S2P_E,S2P_E4,Humanobservation,Plantae,Plantae,Poales,Holcus lanatus,Yorkshire_fog,Species,1,5,
South,Medium,S2P_G,S2P_G2,Humanobservation,Plantae,Plantae,Poales,Holcus lanatus,Yorkshire_fog,Species,1,10,
South,Medium,S2P_H,S2P_H2,Humanobservation,Plantae,Plantae,Poales,Holcus lanatus,Yorkshire_fog,Species,1,5,
South,Medium,S2P_I,S2P_I4,Humanobservation,Plantae,Plantae,Poales,Holcus lanatus,Yorkshire_fog,Species,1,5,
South,Medium,S2P_J,S2P_J1,Humanobservation,Plantae,Plantae,Poales,Holcus lanatus,Yorkshire_fog,Species,1,5,
North,Medium,N2P_B,N2P_B1,Humanobservation,Plantae,Plantae,Malpighiales,Hypericum perforatum,St._johns_wort,Species,1,5,
North,High,N1P_H,N1P_H3,Humanobservation,Plantae,Plantae,Poales,Juncus effusus,Soft_rush,Species,1,5,
South,Low,S3P_D,S3P_D2,Humanobservation,Plantae,Plantae,Poales,Juncus effusus,Soft_rush,Species,1,40,
South,Low,S3P_G,S3P_G2,Humanobservation,Plantae,Plantae,Poales,Juncus effusus,Soft_rush,Species,1,30,
South,Low,S3P_D,S3P_D1,Humanobservation,Plantae,Plantae,Poales,Juncus inflexus,Hard_rush,Species,1,40,
North,Low,N3P_D,N3P_D1,Humanobservation,Plantae,Plantae,Dipsacales,Lonicera periclymenum,European_honeysuckle,Species,1,20,
North,Medium,N2P_E,N2P_E1,Humanobservation,Plantae,Plantae,Ericales,Lysimachia nemorum,Yellow_pimpernel,Species,1,5,
South,Low,S3P_J,S3P_J1,Humanobservation,Plantae,Plantae,Fagales,Myrica gale,Bog_myrtle,Species,1,10,
South,Low,S3P_A,S3P_A2,Humanobservation,Plantae,Plantae,Poales,Nardus stricta,Mat_grass,Species,1,85,
South,Low,S3P_B,S3P_B3,Humanobservation,Plantae,Plantae,Poales,Nardus stricta,Mat_grass,Species,1,60,
South,Low,S3P_C,S3P_C3,Humanobservation,Plantae,Plantae,Poales,Nardus stricta,Mat_grass,Species,1,80,
South,Low,S3P_E,S3P_E1,Humanobservation,Plantae,Plantae,Poales,Nardus stricta,Mat_grass,Species,1,95,
South,Low,S3P_F,S3P_F1,Humanobservation,Plantae,Plantae,Poales,Nardus stricta,Mat_grass,Species,1,90,
South,Low,S3P_H,S3P_H2,Humanobservation,Plantae,Plantae,Poales,Nardus stricta,Mat_grass,Species,1,80,
South,Low,S3P_I,S3P_I2,Humanobservation,Plantae,Plantae,Poales,Nardus stricta,Mat_grass,Species,1,100,
South,High,S1P_A,S1P_A1,Humanobservation,Plantae,Plantae,Poales,Nardus stricta,Mat_grass,Species,1,100,
South,High,S1P_B,S1P_B1,Humanobservation,Plantae,Plantae,Poales,Nardus stricta,Mat_grass,Species,1,100,
South,High,S1P_C,S1P_C2,Humanobservation,Plantae,Plantae,Poales,Nardus stricta,Mat_grass,Species,1,100,
South,High,S1P_D,S1P_D2,Humanobservation,Plantae,Plantae,Poales,Nardus stricta,Mat_grass,Species,1,80,
South,High,S1P_E,S1P_E2,Humanobservation,Plantae,Plantae,Poales,Nardus stricta,Mat_grass,Species,1,90,
South,High,S1P_F,S1P_F1,Humanobservation,Plantae,Plantae,Poales,Nardus stricta,Mat_grass,Species,1,20,
South,High,S1P_G,S1P_G3,Humanobservation,Plantae,Plantae,Poales,Nardus stricta,Mat_grass,Species,1,90,
South,High,S1P_H,S1P_H3,Humanobservation,Plantae,Plantae,Poales,Nardus stricta,Mat_grass,Species,1,100,
South,Medium,S2P_A,S2P_A2,Humanobservation,Plantae,Plantae,Poales,Nardus stricta,Mat_grass,Species,1,90,
South,Medium,S2P_B,S2P_B2,Humanobservation,Plantae,Plantae,Poales,Nardus stricta,Mat_grass,Species,1,95,
South,Medium,S2P_C,S2P_C2,Humanobservation,Plantae,Plantae,Poales,Nardus stricta,Mat_grass,Species,1,95,
South,Medium,S2P_D,S2P_D1,Humanobservation,Plantae,Plantae,Poales,Nardus stricta,Mat_grass,Species,1,100,
South,Medium,S2P_E,S2P_E1,Humanobservation,Plantae,Plantae,Poales,Nardus stricta,Mat_grass,Species,1,90,
South,Medium,S2P_F,S2P_F4,Humanobservation,Plantae,Plantae,Poales,Nardus stricta,Mat_grass,Species,1,80,
South,Medium,S2P_G,S2P_G5,Humanobservation,Plantae,Plantae,Poales,Nardus stricta,Mat_grass,Species,1,95,
South,Medium,S2P_H,S2P_H5,Humanobservation,Plantae,Plantae,Poales,Nardus stricta,Mat_grass,Species,1,95,
South,Medium,S2P_I,S2P_I5,Humanobservation,Plantae,Plantae,Poales,Nardus stricta,Mat_grass,Species,1,40,
South,Medium,S2P_J,S2P_J4,Humanobservation,Plantae,Plantae,Poales,Nardus stricta,Mat_grass,Species,1,100,
North,Medium,N2P_A,N20_A6,Humanobservation,Plantae,Plantae,Oxalidales,Oxalis sp,Wood_sorrel,Genus,1,5,
South,Medium,S2P_F,S2P_F1,Humanobservation,Plantae,Plantae,Polytrichales,Polytrichum commune,Common_haircap,Species,1,30,
South,Medium,S2P_I,S2P_I1,Humanobservation,Plantae,Plantae,Polytrichales,Polytrichum commune,Common_haircap,Species,1,25,
North,Low,N3P_H,N3P_H4,Humanobservation,Plantae,Plantae,Rosales,Potentilla erecta,Tormentil,Species,1,5,
North,High,N1P_B,N1P_B4,Humanobservation,Plantae,Plantae,Rosales,Potentilla erecta,Tormentil,Species,1,5,
North,High,N1P_C,N1P_C5,Humanobservation,Plantae,Plantae,Rosales,Potentilla erecta,Tormentil,Species,1,5,
North,High,N1P_D,N1P_D4,Humanobservation,Plantae,Plantae,Rosales,Potentilla erecta,Tormentil,Species,1,5,
North,High,N1P_E,N1P_E4,Humanobservation,Plantae,Plantae,Rosales,Potentilla erecta,Tormentil,Species,1,10,
North,High,N1P_I,N1P_I3,Humanobservation,Plantae,Plantae,Rosales,Potentilla erecta,Tormentil,Species,1,5,
North,High,N1P_J,N1P_J3,Humanobservation,Plantae,Plantae,Rosales,Potentilla erecta,Tormentil,Species,1,5,
North,Medium,N2P_H,N2P_H1,Humanobservation,Plantae,Plantae,Rosales,Potentilla erecta,Tormentil,Species,1,5,
North,Medium,N2P_D,N2P_D4,Humanobservation,Plantae,Plantae,Rosales,Potentilla erecta,Tormentil,Species,1,5,
South,Low,S3P_E,S3P_E2,Humanobservation,Plantae,Plantae,Rosales,Potentilla erecta,Tormentil,Species,1,25,
South,Low,S3P_F,S3P_F2,Humanobservation,Plantae,Plantae,Rosales,Potentilla erecta,Tormentil,Species,1,15,
South,Low,S3P_H,S3P_H1,Humanobservation,Plantae,Plantae,Rosales,Potentilla erecta,Tormentil,Species,1,50,
South,High,S1P_A,S1P_A2,Humanobservation,Plantae,Plantae,Rosales,Potentilla erecta,Tormentil,Species,1,30,
